Timestamp;Trial;Value;Best;Parameters
2022-12-11 17:26:32,361;0;-0.018111269460551506;0;{'percentile': 66, 'regressor': 'ElasticNet', 'l1_ratio': 0.9757289787231697, 'alpha': 0.26356289471359023}
2022-12-11 17:32:30,892;1;0.030893895906244452;1;{'percentile': 49, 'regressor': 'HuberRegressor', 'n_estimators': 55, 'epsilon': 2.8055980590501486, 'alpha': 0.0003790321152368359}
2022-12-11 17:34:29,179;2;0.13259651842580295;2;{'percentile': 66, 'regressor': 'XGBRegressor', 'alpha': 0.6836977651115285, 'gamma': 1.1095367198744666, 'eta': 0.16736579216443564, 'n_estimators': 67, 'max_depth': 11, 'subsample': 0.7902602162651663, 'colsample_bytree': 0.6500246556078881}
2022-12-11 17:36:20,129;3;-0.02397674566921415;2;{'percentile': 82, 'regressor': 'ElasticNet', 'l1_ratio': 0.7919063094126526, 'alpha': 0.9687148195996788}
2022-12-11 17:38:14,469;4;0.13327671370606758;4;{'percentile': 80, 'regressor': 'XGBRegressor', 'alpha': 1.5876006121577935, 'gamma': 7.430471917456353, 'eta': 0.21566456354913224, 'n_estimators': 74, 'max_depth': 12, 'subsample': 0.7569809704455669, 'colsample_bytree': 0.6196161164491307}
2022-12-11 17:40:12,582;5;0.15083182241532062;5;{'percentile': 53, 'regressor': 'XGBRegressor', 'alpha': 1.0582172313537936, 'gamma': 5.610344211351077, 'eta': 0.6530263333113017, 'n_estimators': 384, 'max_depth': 7, 'subsample': 0.8054679888294256, 'colsample_bytree': 0.6039591163018988}
2022-12-11 17:41:52,417;6;0.17700054522502945;6;{'percentile': 43, 'regressor': 'XGBRegressor', 'alpha': 4.244361982992269, 'gamma': 4.200548572669478, 'eta': 0.5021350439290535, 'n_estimators': 169, 'max_depth': 5, 'subsample': 0.9594787018440424, 'colsample_bytree': 0.8030161612275505}
2022-12-11 17:43:41,397;7;0.1655394968707909;6;{'percentile': 64, 'regressor': 'XGBRegressor', 'alpha': 0.9592477007717423, 'gamma': 5.111713111665136, 'eta': 0.18353150296720397, 'n_estimators': 183, 'max_depth': 8, 'subsample': 0.7263943415950825, 'colsample_bytree': 0.7190614077765495}
2022-12-11 19:13:06,311;8;0.03544870526944273;6;{'percentile': 88, 'regressor': 'HuberRegressor', 'n_estimators': 472, 'epsilon': 1.3141231271141098, 'alpha': 0.013924188458461117}
2022-12-11 19:24:19,956;9;0.034467054556818755;6;{'percentile': 37, 'regressor': 'HuberRegressor', 'n_estimators': 138, 'epsilon': 1.0518039036217366, 'alpha': 0.015157051829808048}
2022-12-11 19:26:00,418;10;0.17559135802263698;6;{'percentile': 34, 'regressor': 'XGBRegressor', 'alpha': 5.823625066015812, 'gamma': 1.502615194363449, 'eta': 0.5450455551555466, 'n_estimators': 216, 'max_depth': 4, 'subsample': 0.9811027743003821, 'colsample_bytree': 0.867981289752466}
2022-12-11 19:27:38,296;11;0.17640756369135593;6;{'percentile': 33, 'regressor': 'XGBRegressor', 'alpha': 7.329200741419784, 'gamma': 1.3956707879847587, 'eta': 0.6110575160507296, 'n_estimators': 219, 'max_depth': 4, 'subsample': 0.989551812944697, 'colsample_bytree': 0.898292227955386}
2022-12-11 19:29:20,425;12;0.15765722733945542;6;{'percentile': 41, 'regressor': 'XGBRegressor', 'alpha': 7.588920395197055, 'gamma': 3.3637334098978258, 'eta': 0.3918728330864273, 'n_estimators': 278, 'max_depth': 4, 'subsample': 0.995568253075922, 'colsample_bytree': 0.8921687795416754}
2022-12-11 19:30:57,727;13;0.15263888601268352;6;{'percentile': 43, 'regressor': 'XGBRegressor', 'alpha': 4.013980722109181, 'gamma': 2.9750682439982015, 'eta': 0.3791213903950281, 'n_estimators': 122, 'max_depth': 5, 'subsample': 0.9007845761368686, 'colsample_bytree': 0.7992178291547413}
2022-12-11 19:32:38,062;14;0.19212768714536801;14;{'percentile': 32, 'regressor': 'XGBRegressor', 'alpha': 3.9759493392156724, 'gamma': 9.159075925858904, 'eta': 0.6915156990794028, 'n_estimators': 124, 'max_depth': 6, 'subsample': 0.9018835139648076, 'colsample_bytree': 0.7963398501373897}
2022-12-11 19:34:10,607;15;-0.02397674566921415;14;{'percentile': 41, 'regressor': 'ElasticNet', 'l1_ratio': 0.5026143716068203, 'alpha': 12.82113677525696}
2022-12-11 19:35:49,419;16;0.168881303392781;14;{'percentile': 46, 'regressor': 'XGBRegressor', 'alpha': 3.058437497990896, 'gamma': 8.737582567103921, 'eta': 0.7591416873381319, 'n_estimators': 112, 'max_depth': 6, 'subsample': 0.9016627469399782, 'colsample_bytree': 0.7831569241065783}
2022-12-11 19:37:32,830;17;0.18673808400281255;14;{'percentile': 37, 'regressor': 'XGBRegressor', 'alpha': 2.968100951274235, 'gamma': 9.496962329436421, 'eta': 0.11603165372300525, 'n_estimators': 95, 'max_depth': 9, 'subsample': 0.896040950357798, 'colsample_bytree': 0.77944428549441}
2022-12-11 19:39:05,422;18;-0.02397674566921415;14;{'percentile': 32, 'regressor': 'ElasticNet', 'l1_ratio': 0.5124132051255569, 'alpha': 2.29346885325267}
2022-12-11 19:42:16,033;19;0.03117257387830068;14;{'percentile': 37, 'regressor': 'HuberRegressor', 'n_estimators': 32, 'epsilon': 3.8858175818895653, 'alpha': 0.06340939915427132}
2022-12-11 19:43:58,691;20;0.1895699212758128;14;{'percentile': 36, 'regressor': 'XGBRegressor', 'alpha': 2.4335375276736966, 'gamma': 9.758494489590444, 'eta': 0.10810326479553645, 'n_estimators': 92, 'max_depth': 9, 'subsample': 0.8687672246122043, 'colsample_bytree': 0.7275057902121442}
2022-12-11 19:45:42,362;21;0.20655220265785518;21;{'percentile': 37, 'regressor': 'XGBRegressor', 'alpha': 2.504267664093676, 'gamma': 9.788916231948177, 'eta': 0.1124337905266112, 'n_estimators': 97, 'max_depth': 9, 'subsample': 0.8776544793289682, 'colsample_bytree': 0.7225757337786416}
2022-12-11 19:47:27,166;22;0.14863268684372674;21;{'percentile': 36, 'regressor': 'XGBRegressor', 'alpha': 2.0417568090576474, 'gamma': 9.960580266484715, 'eta': 0.10673377956473999, 'n_estimators': 91, 'max_depth': 10, 'subsample': 0.8600445340117514, 'colsample_bytree': 0.6961801242396574}
2022-12-11 19:49:54,102;23;0.17443278601875783;21;{'percentile': 32, 'regressor': 'XGBRegressor', 'alpha': 2.792045125944359, 'gamma': 7.754862680091037, 'eta': 0.1383130219837292, 'n_estimators': 145, 'max_depth': 16, 'subsample': 0.848807762239406, 'colsample_bytree': 0.736458339320314}
2022-12-11 19:51:32,704;24;0.15817934391941307;21;{'percentile': 39, 'regressor': 'XGBRegressor', 'alpha': 1.5834631530591783, 'gamma': 8.109003134623025, 'eta': 0.2664817771611564, 'n_estimators': 102, 'max_depth': 7, 'subsample': 0.9320910889775703, 'colsample_bytree': 0.690462005184098}
2022-12-11 19:53:34,150;25;0.16497353006870258;21;{'percentile': 35, 'regressor': 'XGBRegressor', 'alpha': 4.031355335187421, 'gamma': 6.873452694958264, 'eta': 0.10001976416305722, 'n_estimators': 82, 'max_depth': 14, 'subsample': 0.873015679197783, 'colsample_bytree': 0.744026388278859}
2022-12-11 19:55:24,259;26;0.15259213747475225;21;{'percentile': 47, 'regressor': 'XGBRegressor', 'alpha': 1.6296628800208166, 'gamma': 8.994886373017044, 'eta': 0.14221094917612834, 'n_estimators': 122, 'max_depth': 9, 'subsample': 0.8187840857460951, 'colsample_bytree': 0.8348314393056446}
2022-12-11 19:57:06,548;27;0.14674041266530866;21;{'percentile': 58, 'regressor': 'XGBRegressor', 'alpha': 2.49527003933532, 'gamma': 6.472458078708076, 'eta': 0.25580905935908604, 'n_estimators': 143, 'max_depth': 6, 'subsample': 0.9350166189270376, 'colsample_bytree': 0.6724141761779732}
2022-12-11 20:02:02,632;28;0.03680475628073265;21;{'percentile': 40, 'regressor': 'HuberRegressor', 'n_estimators': 51, 'epsilon': 1.8426018552238375, 'alpha': 0.06389841419641537}
2022-12-11 20:03:37,552;29;-0.02397674566921415;21;{'percentile': 34, 'regressor': 'ElasticNet', 'l1_ratio': 0.7303621465743094, 'alpha': 15.982028384950398}
2022-12-11 20:05:11,279;30;-0.02397674566921415;21;{'percentile': 51, 'regressor': 'ElasticNet', 'l1_ratio': 0.9912928714683447, 'alpha': 4.958611198849559}
2022-12-11 20:06:59,574;31;0.23501334594752646;31;{'percentile': 37, 'regressor': 'XGBRegressor', 'alpha': 3.2781415689340023, 'gamma': 9.999738122573053, 'eta': 0.1245196054540282, 'n_estimators': 89, 'max_depth': 9, 'subsample': 0.8907245422700265, 'colsample_bytree': 0.7634127248493497}
2022-12-11 20:08:43,692;32;0.1596610428791411;31;{'percentile': 38, 'regressor': 'XGBRegressor', 'alpha': 3.4120355982248207, 'gamma': 9.978069755533582, 'eta': 0.13051244807157608, 'n_estimators': 106, 'max_depth': 8, 'subsample': 0.8774852441204949, 'colsample_bytree': 0.7571762034175658}
2022-12-11 20:10:32,148;33;0.15813440229901654;31;{'percentile': 43, 'regressor': 'XGBRegressor', 'alpha': 3.510227775687633, 'gamma': 8.674536123984671, 'eta': 0.17250338032340137, 'n_estimators': 86, 'max_depth': 10, 'subsample': 0.8410418973450773, 'colsample_bytree': 0.7180887130473944}
2022-12-11 20:12:22,177;34;0.156998313089292;31;{'percentile': 35, 'regressor': 'XGBRegressor', 'alpha': 1.9241793802412104, 'gamma': 9.118705383871449, 'eta': 0.12037478202541411, 'n_estimators': 121, 'max_depth': 9, 'subsample': 0.9261676270341076, 'colsample_bytree': 0.7595343403949115}
2022-12-11 20:14:01,147;35;0.16587318752566793;31;{'percentile': 32, 'regressor': 'XGBRegressor', 'alpha': 2.479608813073006, 'gamma': 9.948079118355638, 'eta': 0.15104893027908783, 'n_estimators': 76, 'max_depth': 6, 'subsample': 0.8916688305167654, 'colsample_bytree': 0.8312875958607864}
2022-12-11 20:15:40,336;36;0.11756697899907717;31;{'percentile': 72, 'regressor': 'XGBRegressor', 'alpha': 1.9086468650394406, 'gamma': 8.24508120884888, 'eta': 0.33985905479504536, 'n_estimators': 66, 'max_depth': 7, 'subsample': 0.8273155788515154, 'colsample_bytree': 0.7134268028865738}
2022-12-11 20:22:32,173;37;0.03080227032804501;31;{'percentile': 57, 'regressor': 'HuberRegressor', 'n_estimators': 52, 'epsilon': 1.873736191240999, 'alpha': 0.0015698461917782345}
2022-12-11 20:24:27,220;38;0.13503951554824284;31;{'percentile': 45, 'regressor': 'XGBRegressor', 'alpha': 4.751264634034092, 'gamma': 9.13019675875984, 'eta': 0.20926383241646543, 'n_estimators': 100, 'max_depth': 12, 'subsample': 0.9234052696558042, 'colsample_bytree': 0.7652843647341891}
2022-12-11 20:26:16,619;39;0.2151202574832091;31;{'percentile': 49, 'regressor': 'XGBRegressor', 'alpha': 3.50882486141375, 'gamma': 7.099467414563689, 'eta': 0.10061327224558289, 'n_estimators': 165, 'max_depth': 8, 'subsample': 0.8640940300481319, 'colsample_bytree': 0.8216078815994847}
2022-12-11 20:27:51,713;40;-0.02397674566921415;31;{'percentile': 50, 'regressor': 'ElasticNet', 'l1_ratio': 0.6867537793571119, 'alpha': 7.094244657846581}
2022-12-11 20:29:36,522;41;0.2597986495590888;41;{'percentile': 39, 'regressor': 'XGBRegressor', 'alpha': 3.6602054977940615, 'gamma': 8.468084189986593, 'eta': 0.10489038118207863, 'n_estimators': 165, 'max_depth': 8, 'subsample': 0.8618167643241063, 'colsample_bytree': 0.8420537492940701}
2022-12-11 20:31:23,678;42;0.18880842295159744;41;{'percentile': 39, 'regressor': 'XGBRegressor', 'alpha': 3.5324166238030594, 'gamma': 7.152060872423615, 'eta': 0.10054336114922027, 'n_estimators': 168, 'max_depth': 8, 'subsample': 0.851456762701594, 'colsample_bytree': 0.8292474944002185}
2022-12-11 20:33:12,316;43;0.2159267799204283;41;{'percentile': 54, 'regressor': 'XGBRegressor', 'alpha': 4.808739429893625, 'gamma': 8.231904795931712, 'eta': 0.12325794526865262, 'n_estimators': 197, 'max_depth': 7, 'subsample': 0.8791260549135539, 'colsample_bytree': 0.8582758607838445}
2022-12-11 20:35:28,394;44;0.14728158402351624;41;{'percentile': 56, 'regressor': 'XGBRegressor', 'alpha': 5.266629186749294, 'gamma': 6.063525847487304, 'eta': 0.12342268111067888, 'n_estimators': 267, 'max_depth': 11, 'subsample': 0.7783840427520541, 'colsample_bytree': 0.8682226191581043}
2022-12-11 20:37:16,458;45;0.2034363790548408;41;{'percentile': 63, 'regressor': 'XGBRegressor', 'alpha': 5.8773118945706555, 'gamma': 8.316190907134464, 'eta': 0.14896577082014256, 'n_estimators': 196, 'max_depth': 7, 'subsample': 0.8783603492699514, 'colsample_bytree': 0.8506167018185797}
2022-12-11 20:39:25,636;46;0.17593929652858054;41;{'percentile': 54, 'regressor': 'XGBRegressor', 'alpha': 3.1700193002516914, 'gamma': 7.58923270445184, 'eta': 0.12368878924695387, 'n_estimators': 260, 'max_depth': 10, 'subsample': 0.8300408406736494, 'colsample_bytree': 0.8204005078143609}
2022-12-11 20:52:14,384;47;0.031050220975313937;41;{'percentile': 48, 'regressor': 'HuberRegressor', 'n_estimators': 159, 'epsilon': 3.9379844325061892, 'alpha': 0.07307804769485449}
2022-12-11 20:54:12,247;48;0.22382229713113916;41;{'percentile': 44, 'regressor': 'XGBRegressor', 'alpha': 2.7861883242859555, 'gamma': 7.853399575038252, 'eta': 0.16440184450364162, 'n_estimators': 336, 'max_depth': 8, 'subsample': 0.7983681338274834, 'colsample_bytree': 0.862868363494882}
2022-12-11 20:56:13,305;49;0.1920350266589735;41;{'percentile': 45, 'regressor': 'XGBRegressor', 'alpha': 7.6325029241493585, 'gamma': 6.8211915160444905, 'eta': 0.15839605708784224, 'n_estimators': 333, 'max_depth': 8, 'subsample': 0.7925841722215964, 'colsample_bytree': 0.8583720204239937}
2022-12-11 20:58:13,235;50;0.23094847894005266;41;{'percentile': 61, 'regressor': 'XGBRegressor', 'alpha': 4.828441464492952, 'gamma': 7.762784753877303, 'eta': 0.18454387637767644, 'n_estimators': 436, 'max_depth': 7, 'subsample': 0.8034137742219032, 'colsample_bytree': 0.8798077667749726}
2022-12-11 21:00:22,216;51;0.20197501694250214;41;{'percentile': 60, 'regressor': 'XGBRegressor', 'alpha': 2.5814638477539793, 'gamma': 7.459486623865911, 'eta': 0.19559837308210815, 'n_estimators': 519, 'max_depth': 7, 'subsample': 0.7665770239530649, 'colsample_bytree': 0.8869002626903802}
2022-12-11 21:02:30,603;52;0.21094229225302524;41;{'percentile': 52, 'regressor': 'XGBRegressor', 'alpha': 2.495029138373182, 'gamma': 8.007341753457947, 'eta': 0.23148981877403377, 'n_estimators': 409, 'max_depth': 8, 'subsample': 0.8124327723364742, 'colsample_bytree': 0.8740940444045466}
2022-12-11 21:04:31,299;53;0.22323885917033923;41;{'percentile': 54, 'regressor': 'XGBRegressor', 'alpha': 1.8589616397486677, 'gamma': 5.738253832146723, 'eta': 0.1720763363362796, 'n_estimators': 392, 'max_depth': 7, 'subsample': 0.802554416827899, 'colsample_bytree': 0.847741276426431}
2022-12-11 21:06:29,337;54;0.16996286553641146;41;{'percentile': 70, 'regressor': 'XGBRegressor', 'alpha': 4.929741843371415, 'gamma': 4.816488189329867, 'eta': 0.17430579350874806, 'n_estimators': 358, 'max_depth': 7, 'subsample': 0.7417647079002831, 'colsample_bytree': 0.8530923937843166}
2022-12-11 21:08:20,971;55;0.17884829834581478;41;{'percentile': 63, 'regressor': 'XGBRegressor', 'alpha': 4.21462498390563, 'gamma': 5.767146376613614, 'eta': 0.13391802758816634, 'n_estimators': 435, 'max_depth': 5, 'subsample': 0.7999172432803797, 'colsample_bytree': 0.8465752781455261}
2022-12-11 21:10:18,821;56;0.18629280033891174;41;{'percentile': 60, 'regressor': 'XGBRegressor', 'alpha': 4.264797677467753, 'gamma': 0.19637789896460234, 'eta': 0.16404376516875752, 'n_estimators': 315, 'max_depth': 7, 'subsample': 0.7823512921555172, 'colsample_bytree': 0.8815281934417286}
2022-12-11 21:12:07,730;57;0.18923702220287603;41;{'percentile': 55, 'regressor': 'XGBRegressor', 'alpha': 2.904640510232431, 'gamma': 4.978392644475153, 'eta': 0.1927240372106404, 'n_estimators': 239, 'max_depth': 6, 'subsample': 0.7034102776585718, 'colsample_bytree': 0.8998235088322014}
2022-12-11 21:13:42,954;58;-0.02397674566921415;41;{'percentile': 53, 'regressor': 'ElasticNet', 'l1_ratio': 0.8622433126577763, 'alpha': 2.2512371063287655}
2022-12-11 21:49:19,258;59;0.030078926521544935;41;{'percentile': 70, 'regressor': 'HuberRegressor', 'n_estimators': 308, 'epsilon': 2.6685236461645765, 'alpha': 0.062316058050644274}
2022-12-11 21:51:37,133;60;0.16124654103571864;41;{'percentile': 42, 'regressor': 'XGBRegressor', 'alpha': 3.2913704903262535, 'gamma': 8.482293862777894, 'eta': 0.23153358350152572, 'n_estimators': 393, 'max_depth': 11, 'subsample': 0.8093113494077492, 'colsample_bytree': 0.8023123785385081}
2022-12-11 21:53:46,427;61;0.18562885265871074;41;{'percentile': 50, 'regressor': 'XGBRegressor', 'alpha': 2.1628646170837085, 'gamma': 6.476653952210649, 'eta': 0.11511412391739802, 'n_estimators': 457, 'max_depth': 8, 'subsample': 0.8274259785884414, 'colsample_bytree': 0.8132038310678351}
2022-12-11 21:55:35,639;62;0.1807821078459135;41;{'percentile': 45, 'regressor': 'XGBRegressor', 'alpha': 5.165149520989074, 'gamma': 7.301688920132577, 'eta': 0.1369432471393016, 'n_estimators': 191, 'max_depth': 8, 'subsample': 0.7629340204006143, 'colsample_bytree': 0.8421270027319392}
2022-12-11 21:57:32,063;63;0.19490151986874785;41;{'percentile': 48, 'regressor': 'XGBRegressor', 'alpha': 4.166602473159238, 'gamma': 7.81998045349543, 'eta': 0.12504340441505724, 'n_estimators': 214, 'max_depth': 9, 'subsample': 0.8589916810022545, 'colsample_bytree': 0.8595269162195966}
2022-12-11 21:59:40,863;64;0.1676076445179932;41;{'percentile': 59, 'regressor': 'XGBRegressor', 'alpha': 4.1427483803095875, 'gamma': 6.414978086397825, 'eta': 0.1056734925546584, 'n_estimators': 513, 'max_depth': 7, 'subsample': 0.8422993879353068, 'colsample_bytree': 0.8759633416804383}
2022-12-11 22:01:52,427;65;0.21631893514898853;41;{'percentile': 41, 'regressor': 'XGBRegressor', 'alpha': 3.694582201822799, 'gamma': 4.112339937941323, 'eta': 0.15570348928421618, 'n_estimators': 349, 'max_depth': 10, 'subsample': 0.9126866681744524, 'colsample_bytree': 0.8215490678361791}
2022-12-11 22:04:02,364;66;0.18976069146187402;41;{'percentile': 41, 'regressor': 'XGBRegressor', 'alpha': 2.8972964582126317, 'gamma': 3.7623571756037766, 'eta': 0.15903197477008063, 'n_estimators': 344, 'max_depth': 10, 'subsample': 0.8876304227731164, 'colsample_bytree': 0.7880871280015646}
2022-12-11 22:06:30,282;67;0.23535254226830754;41;{'percentile': 39, 'regressor': 'XGBRegressor', 'alpha': 3.444703296154742, 'gamma': 4.00271169765302, 'eta': 0.1863972332555776, 'n_estimators': 362, 'max_depth': 12, 'subsample': 0.960569808128962, 'colsample_bytree': 0.8117387681666716}
2022-12-11 22:09:06,866;68;0.2490172553370666;41;{'percentile': 39, 'regressor': 'XGBRegressor', 'alpha': 1.666049315468355, 'gamma': 2.3338347312157586, 'eta': 0.18807084683660125, 'n_estimators': 366, 'max_depth': 13, 'subsample': 0.9676752278180747, 'colsample_bytree': 0.7757015806115274}
2022-12-11 22:12:06,845;69;0.18427640958647568;41;{'percentile': 36, 'regressor': 'XGBRegressor', 'alpha': 6.873230157002984, 'gamma': 2.837968398376786, 'eta': 0.22775560768188396, 'n_estimators': 409, 'max_depth': 14, 'subsample': 0.9695673157141212, 'colsample_bytree': 0.7824486705185872}
2022-12-11 22:13:39,970;70;-0.02397674566921415;41;{'percentile': 39, 'regressor': 'ElasticNet', 'l1_ratio': 0.6328052177292126, 'alpha': 14.531583840049269}
2022-12-11 22:16:20,498;71;0.21383301520079795;41;{'percentile': 43, 'regressor': 'XGBRegressor', 'alpha': 5.975133937763298, 'gamma': 2.475165322320623, 'eta': 0.19896273492000108, 'n_estimators': 384, 'max_depth': 13, 'subsample': 0.9504532275820251, 'colsample_bytree': 0.8091640555787909}
2022-12-11 22:18:39,978;72;0.16715774813386955;41;{'percentile': 38, 'regressor': 'XGBRegressor', 'alpha': 4.5134020213266135, 'gamma': 4.137102350981815, 'eta': 0.17926422112559443, 'n_estimators': 296, 'max_depth': 12, 'subsample': 0.9133977334498556, 'colsample_bytree': 0.6199480883020019}
2022-12-11 22:21:08,215;73;0.19657523112775138;41;{'percentile': 40, 'regressor': 'XGBRegressor', 'alpha': 5.85072301556226, 'gamma': 1.9390081608565493, 'eta': 0.18185368150253542, 'n_estimators': 362, 'max_depth': 12, 'subsample': 0.957295003040205, 'colsample_bytree': 0.769511140357175}
2022-12-11 22:23:56,971;74;0.16982711599796257;41;{'percentile': 42, 'regressor': 'XGBRegressor', 'alpha': 3.0301773588201195, 'gamma': 4.677774921072693, 'eta': 0.14542163713068726, 'n_estimators': 440, 'max_depth': 14, 'subsample': 0.9993826968431294, 'colsample_bytree': 0.7503663880251055}
2022-12-11 22:26:42,111;75;0.15704747001266098;41;{'percentile': 34, 'regressor': 'XGBRegressor', 'alpha': 1.3260242565352895, 'gamma': 5.355834482484681, 'eta': 0.16242798298305142, 'n_estimators': 369, 'max_depth': 13, 'subsample': 0.9431230946706224, 'colsample_bytree': 0.8391023195475532}
2022-12-11 22:29:34,311;76;0.2284010938244701;41;{'percentile': 38, 'regressor': 'XGBRegressor', 'alpha': 5.643410864121106, 'gamma': 3.692916925471306, 'eta': 0.21006549805497757, 'n_estimators': 336, 'max_depth': 15, 'subsample': 0.9773227610825331, 'colsample_bytree': 0.7938132400516947}
2022-12-11 22:50:30,315;77;0.030635731330209227;41;{'percentile': 38, 'regressor': 'HuberRegressor', 'n_estimators': 292, 'epsilon': 1.3245524762900402, 'alpha': 0.0951433458141307}
2022-12-11 22:52:50,135;78;0.1634856985275464;41;{'percentile': 35, 'regressor': 'XGBRegressor', 'alpha': 1.8486510218520835, 'gamma': 3.5051324432409956, 'eta': 0.20569328286603258, 'n_estimators': 335, 'max_depth': 13, 'subsample': 0.9831775683174062, 'colsample_bytree': 0.7981016412809893}
2022-12-11 22:56:54,177;79;0.15907768716752316;41;{'percentile': 33, 'regressor': 'XGBRegressor', 'alpha': 5.6896823036839494, 'gamma': 9.447654340765181, 'eta': 0.2523372088899145, 'n_estimators': 485, 'max_depth': 16, 'subsample': 0.9659300354416319, 'colsample_bytree': 0.7724488918569127}
